filepath,label
D:/Final_project_data/Train\Apple___Apple_scab\23576562-df0c-46bb-8c50-1bf03412097f___FREC_Scab 3086_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\23f31e0d-3330-4752-9f83-8aba28c90ccb___FREC_Scab 3178_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\23f31e0d-3330-4752-9f83-8aba28c90ccb___FREC_Scab 3178_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\246c33b0-fac8-4cca-ae8b-17947338b8b2___FREC_Scab 3091_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\24d43ad3-24e6-4236-8ef7-59b268520ca3___FREC_Scab 3533_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\25aeb397-bc36-4fe5-affe-6b8195d4f282___FREC_Scab 3494_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\270dd6be-95f4-4fd1-8423-b698663b3f72___FREC_Scab 2954.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\2a59761b-c91c-451c-8e13-d9dc3aff8d29___FREC_Scab 3503_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\2a97b29d-8a63-47ab-bd5b-c14832a586c8___FREC_Scab 3242_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\2ae81857-0615-4a6a-8d13-1ace0c62284d___FREC_Scab 2992.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\2ae81857-0615-4a6a-8d13-1ace0c62284d___FREC_Scab 2992_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\2bc018ba-3c49-4cf4-9411-a93b7b196f45___FREC_Scab 3326_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\2c648fcd-d637-4559-beaa-9dd6079646fb___FREC_Scab 3213.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\2c7ca7c8-1a6c-4811-b9b0-b054c11a5397___FREC_Scab 3260_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\2d329823-7ad5-4189-89b7-4bdf24f9c393___FREC_Scab 3507_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\2f1e68c0-c059-46fd-bbf3-f160817abdc3___FREC_Scab 3535_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\320dff9e-6d59-4bec-9e7c-930444343e3b___FREC_Scab 3398_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\321c7135-853f-444d-9952-a893e660d966___FREC_Scab 2958_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\33ebf0dd-f971-4f11-aa93-45df7d55a9ea___FREC_Scab 3182_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\33ebf0dd-f971-4f11-aa93-45df7d55a9ea___FREC_Scab 3182_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\34c37353-8429-499e-bd38-ac7501f79e90___FREC_Scab 3501_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\3523d2d8-0da9-4b83-b09d-21bd96860a3d___FREC_Scab 3499.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\352a5659-3552-4e94-8333-c3715d38cc27___FREC_Scab 3049.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\3636b2d7-b888-437b-b4e3-a8af4bb62763___FREC_Scab 3148_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\36d99a07-4a43-4416-b204-6886f71d5039___FREC_Scab 3294.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\37659856-0fc8-430b-871a-af4f0b557e49___FREC_Scab 3081.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\38e76f0a-63cb-460a-b0fa-f20e561dc2c0___FREC_Scab 3481_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\3c27bbd7-b305-4ab0-8a85-5061363cf632___FREC_Scab 3183_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\3d34bd1c-fae9-446a-a629-147b5e8d5d6b___FREC_Scab 3103_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\3eb26abb-a392-4cc4-9be2-d5e4bb8f3660___FREC_Scab 2969_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\3eb26abb-a392-4cc4-9be2-d5e4bb8f3660___FREC_Scab 2969_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\4098b029-fcda-4d2f-9703-c16e6e5fae49___FREC_Scab 3455.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\40df2c3f-673e-4da8-a172-65fd5a656c1d___FREC_Scab 2957_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\4151028c-c8bc-4394-b4a7-aff414864c15___FREC_Scab 3418_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\44d28651-473c-4e9b-81ec-212893669fba___FREC_Scab 3477.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\44d28651-473c-4e9b-81ec-212893669fba___FREC_Scab 3477_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\44dcf367-d162-407e-8ea8-e363ab8ff5c4___FREC_Scab 3282.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\44dcf367-d162-407e-8ea8-e363ab8ff5c4___FREC_Scab 3282_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\45512c84-e453-459c-b12f-1d08ce44001b___FREC_Scab 3072.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\45ee8aaa-1a08-46ed-8ac8-bba8e40c61d6___FREC_Scab 2986.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\47b3d8bb-2461-4593-a0fe-a6adf0925a9a___FREC_Scab 2974_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\48420763-bd18-49b4-9ab4-69319b5733f2___FREC_Scab 3201_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\48dcb319-8b65-4bac-bba4-aa8ffa8abdd0___FREC_Scab 3519_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\48e62e54-d02a-41bb-8486-234408706e69___FREC_Scab 3190.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\4b51cc5d-4122-451b-8598-81ea29dc7cd4___FREC_Scab 3290_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\4b7c40cd-b145-4945-b649-3576a1d898dc___FREC_Scab 3343_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\4d02c4a9-4b0d-4b4b-9695-91f08228ee53___FREC_Scab 3274_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\51530f6a-2bee-4008-8e77-eeda281e9195___FREC_Scab 3209_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\517d0958-b10e-4260-a736-7a4bbb9706c0___FREC_Scab 3497_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\536ce9e9-6c98-42c6-9447-f38073b3e9da___FREC_Scab 3222_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\537873ed-fc63-4df3-bb6a-a5bf4c742619___FREC_Scab 3505.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\53fe6519-da0a-4183-80d6-a18828a33223___FREC_Scab 3283.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\5581f206-7305-4430-be5f-8de62689fb70___FREC_Scab 2918.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\563a51b6-2342-4922-b76d-0a6bb69a11f9___FREC_Scab 3107_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\5a178d63-372d-48c4-adb8-d616130ba3f0___FREC_Scab 3104_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\5dbcba87-93fa-4c21-8abd-bc20c93b359f___FREC_Scab 3258_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\5e96dd82-f2d2-4a19-a9cd-46165d6623f9___FREC_Scab 3218_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\5fcb921d-3329-443c-a708-37c3943f5493___FREC_Scab 2987_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\60f3ba82-caf1-4cf7-998c-b0005458fa38___FREC_Scab 3226_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\61373045-a7a5-4213-94fb-7d81638d5561___FREC_Scab 3430_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\62c3478f-3ab0-48df-962f-9d7782ec364d___FREC_Scab 2925.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6344cfa8-2c26-4498-b366-817d56285212___FREC_Scab 2964_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\63cf5c0e-0a65-4261-9034-ba75466ee918___FREC_Scab 3385_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\656265b3-9f9a-4a20-83f5-e5d6be938dcd___FREC_Scab 3454.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\65c52553-6152-46d4-a576-3ef4984a6ad4___FREC_Scab 3524_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\65c52553-6152-46d4-a576-3ef4984a6ad4___FREC_Scab 3524_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6639559d-7af6-40b0-9677-a8dcfe036435___FREC_Scab 3342_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6643566f-d980-4bdb-88d7-4d3ab3c771fa___FREC_Scab 3038.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\66fab3e4-d6e3-4a6d-aff0-4fe011ef8eb3___FREC_Scab 3153_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\67c7e9f9-19ca-4fb5-a2b1-8efdeed7b9e2___FREC_Scab 3397_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\67f122a8-fb8f-4b8c-bd45-3cf11db238b8___FREC_Scab 3140_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\68a57535-547d-4287-89cc-6d8acc265372___FREC_Scab 3351_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\68a57535-547d-4287-89cc-6d8acc265372___FREC_Scab 3351_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6a19d31f-b5e3-4732-a82c-e3d5b1d26c60___FREC_Scab 3537_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6a19d31f-b5e3-4732-a82c-e3d5b1d26c60___FREC_Scab 3537_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6a2c0f48-b0f7-4bd9-b7b8-7410c1ef4048___FREC_Scab 2999_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6a61688a-c972-4f8f-b3b7-46fd00264240___FREC_Scab 3271_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6b66d8dd-af9f-43b5-a43f-6e4c6d64bede___FREC_Scab 3248_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6b6b2140-bb67-4342-adad-8cba97a5ecbe___FREC_Scab 3388_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6cbf7fa9-e7b4-4cf6-9184-0ef06446704e___FREC_Scab 3016_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6e17c808-c071-4eae-befd-bf7e2ed0d9e1___FREC_Scab 3256_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6e8ed8d7-45e0-446a-aad1-d7ccf4a861fe___FREC_Scab 3068_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6e8ed8d7-45e0-446a-aad1-d7ccf4a861fe___FREC_Scab 3068_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\6fb62aa7-c3d4-457a-b95d-a8b3102cccd8___FREC_Scab 3005_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\70fa2c8f-5657-444f-b57b-3ad6755acc74___FREC_Scab 3275_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\71c26585-883f-41e9-939c-5f1683cdf4ed___FREC_Scab 3302_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\72317b7f-8162-4454-b6db-c2e6e5455911___FREC_Scab 3088.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\74f429dd-0b33-41e1-a689-17f8b62dd614___FREC_Scab 3186_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\75896d3d-899a-4143-9262-c44bcea75237___FREC_Scab 3295_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\76eca386-c7c1-4807-ae27-13c793d06e02___FREC_Scab 3272.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\774fb249-80b5-4575-ab5a-5459a9c14ef6___FREC_Scab 3024_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\7897b5dc-7aa6-48b2-8c18-a30fcd6cae94___FREC_Scab 3203_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\795c112f-bd6c-4d70-8986-b1c2fb62cbf2___FREC_Scab 3384_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\795c112f-bd6c-4d70-8986-b1c2fb62cbf2___FREC_Scab 3384_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\7c0710e7-2ad4-44c4-a6f6-ffeb5573f8e7___FREC_Scab 3208_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\7c66bda4-301c-4987-85b8-fd8230c5a2f2___FREC_Scab 3324.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\7e2bacbd-f92b-417e-879f-002f3862718c___FREC_Scab 3374_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\7e2bacbd-f92b-417e-879f-002f3862718c___FREC_Scab 3374_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\7e4bbd7a-b494-426f-9f08-755ce4a399e7___FREC_Scab 3331_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\80870a3d-e028-47c6-9548-cef00d68be2c___FREC_Scab 3469_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\81c34d6d-e734-4ee7-9645-0f8f80c809c7___FREC_Scab 3276.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\82488f15-ffb8-495f-b09f-3810e447681a___FREC_Scab 3007_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\83b1935d-f1fc-4b9f-876e-c0dbbb2fcb03___FREC_Scab 3486.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\83d10707-6253-4717-8c8a-6ea3ebb1e0e1___FREC_Scab 3138.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\83dc6270-1c10-4c76-a1a2-6b562fcb4e4c___FREC_Scab 3478_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\84e61e7e-f106-442c-a954-63dc3a57d5d5___FREC_Scab 3057_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\86054e9e-26b4-42b5-b192-58ddee7b0c34___FREC_Scab 3011.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\8632c6b9-84e1-4779-9294-71548ff838e5___FREC_Scab 3423.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\8632c6b9-84e1-4779-9294-71548ff838e5___FREC_Scab 3423_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\88079400-60e9-4317-b917-0bee6c8c16f5___FREC_Scab 3411_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\89888e39-a951-4507-a9c4-193aead90f64___FREC_Scab 3160.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\8c5418d9-37db-450f-a20e-7fccfe69f57a___FREC_Scab 3404_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\8c916434-af92-4360-9833-0422aa510f7e___FREC_Scab 3245.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\8d2bd2f9-2c65-43f7-95f7-22f7f404ba13___FREC_Scab 3232_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\8e04135b-2279-43a7-af41-147d96395478___FREC_Scab 3143_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\8eaf0422-c84e-4521-8628-85cf2fc91e7c___FREC_Scab 2989.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\9100bed7-65dd-4425-840b-503f9db78ef8___FREC_Scab 3076_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\919f1400-c9b6-4343-9708-0e70deabb85d___FREC_Scab 2941_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\96a26f9f-76b9-456a-b39f-d390ff20bc58___FREC_Scab 3257_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\97d9b70c-15fc-4463-a7cd-129e7bccef1c___FREC_Scab 2910_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\98f72edf-a354-43de-8734-a697d8cdd3f5___FREC_Scab 3400_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\99f409b1-0e19-43e6-bbc5-95c5368f86be___FREC_Scab 3051.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\9a544639-1fc6-4c45-88e4-3049c2bc0814___FREC_Scab 3439_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\9b7399aa-1c3c-4137-ae4e-196cd23fe573___FREC_Scab 3468_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\9cbb6419-1670-45d5-a8ad-90cf9eaac971___FREC_Scab 3075.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\9d586b46-914c-4715-a406-484a597e3bab___FREC_Scab 2998.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\9e4d949f-0d9b-4b61-8ce9-574664176efc___FREC_Scab 3022_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\9eab7829-c658-4544-b6ba-f7fb10035aab___FREC_Scab 3382.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\9efcd800-e927-4595-8eb8-26d36524242a___FREC_Scab 3026_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\9f76829c-655e-4f75-b5fd-2ddfd01f963a___FREC_Scab 3337_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\9fd8d7c3-3321-49fc-a7dc-165ccc353c78___FREC_Scab 3177_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\a0fd13e3-e36c-4386-beb2-ec6a587bfd70___FREC_Scab 3053_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\a2d74032-fd6c-469b-897a-054705e03dec___FREC_Scab 3028_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\a3824376-87d9-464c-b78e-e35d029d43f2___FREC_Scab 3249.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\a5ed05d8-9815-41b7-b481-332e48cfde56___FREC_Scab 3415.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\a72a9033-d2b9-4c64-93bc-7e5a1a0ea4ae___FREC_Scab 3284_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\a72a9033-d2b9-4c64-93bc-7e5a1a0ea4ae___FREC_Scab 3284_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\a7609a35-fd75-4ec3-868a-eb97b9ffd096___FREC_Scab 3032_90deg.JPG,Apple___Apple_scab
